iter	Passed	Remaining
154	2048	11168
155	2058	11138
156	2072	11128
157	2084	11110
158	2097	11095
159	2109	11073
160	2120	11049
161	2131	11025
162	2141	10996
163	2157	10998
164	2169	10977
165	2178	10944
166	2190	10928
167	2201	10904
168	2210	10868
169	2221	10846
170	2234	10830
171	2244	10805
172	2256	10786
173	2265	10754
174	2276	10730
175	2289	10716
176	2299	10693
177	2311	10674
178	2321	10648
179	2335	10640
180	2345	10614
181	2357	10594
182	2368	10572
183	2383	10572
184	2394	10548
185	2404	10523
186	2413	10492
187	2424	10471
188	2437	10458
189	2446	10428
190	2459	10416
191	2473	10408
192	2484	10390
193	2502	10397
194	2511	10369
195	2525	10359
196	2535	10335
197	2548	10322
198	2558	10297
199	2567	10268
200	2577	10245
201	2587	10222
202	2596	10195
203	2606	10170
204	2619	10160
205	2630	10138
206	2642	10124
207	2653	10102
208	2662	10075
209	2671	10050
210	2684	10037
211	2692	10006
212	2702	9985
213	2711	9959
214	2724	9948
215	2733	9921
216	2743	9898
217	2754	9880
218	2764	9858
219	2775	9841
220	2786	9822
221	2795	9796
222	2805	9775
223	2817	9759
224	2830	9750
225	2840	9728
226	2850	9706
227	2859	9683
228	2870	9664
229	2880	9645
230	2891	9626
231	2903	9612
232	2913	9590
233	2923	9569
234	2931	9542
235	2940	9520
236	2956	9519
237	2967	9502
238	2983	9498
239	2993	9478
240	3001	9453
241	3011	9432
242	3019	9407
243	3028	9383
244	3038	9362
245	3046	9337
246	3058	9325
247	3068	9304
248	3079	9288
249	3088	9266
250	3104	9265
251	3119	9258
252	3128	9236
253	3138	9217
254	3147	9195
255	3157	9176
256	3170	9166
257	3179	9143
258	3186	9116
259	3195	9096
260	3203	9070
261	3219	9067
262	3233	9060
263	3246	9049
264	3256	9033
265	3266	9012
266	3275	8993
267	3284	8971
268	3294	8951
269	3303	8930
270	3315	8917
271	3324	8897
272	3332	8874
273	3344	8862
274	3359	8856
275	3367	8833
276	3380	8824
277	3389	8804
278	3400	8788
279	3410	8770
280	3418	8747
281	3428	8728
282	3436	8707
283	3446	8690
284	3456	8671
285	3466	8654
286	3477	8639
287	3490	8629
288	3501	8614
289	3513	8601
290	3521	8578
291	3530	8560
292	3539	8539
293	3546	8517
294	3555	8497
295	3566	8481
296	3578	8470
297	3586	8447
298	3595	8428
299	3605	8411
300	3614	8393
301	3625	8380
302	3637	8367
303	3646	8348
304	3657	8334
305	3666	8316
306	3681	8309
307	3693	8297
308	3702	8278
309	3711	8261
310	3725	8254
311	3739	8245
312	3749	8230
313	3759	8214
314	3775	8209
315	3784	8192
316	3797	8182
317	3808	8168
318	3820	8156
319	3836	8151
320	3851	8147
321	3862	8132
322	3872	8116
323	3883	8102
324	3893	8086
325	3904	8072
326	3914	8055
327	3922	8036
328	3934	8023
329	3943	8005
330	3956	7995
331	3965	7977
332	3975	7962
333	3986	7948
334	4000	7940
335	4009	7923
336	4021	7912
337	4035	7903
338	4046	7890
339	4060	7881
340	4073	7871
341	4083	7857
342	4095	7845
343	4108	7835
344	4123	7829
345	4136	7819
346	4149	7809
347	4170	7813
348	4184	7805
349	4200	7801
350	4213	7791
351	4233	7793
352	4244	7779
353	4257	7768
354	4269	7756
355	4283	7748
356	4296	7738
357	4309	7727
358	4323	7719
359	4344	7724
360	4358	7715
361	4371	7704
362	4384	7693
363	4398	7684
364	4413	7678
365	4427	7669
366	4438	7656
367	4449	7641
368	4462	7630
369	4480	7628
370	4494	7619
371	4501	7599
372	4514	7588
373	4524	7573
374	4535	7559
375	4546	7545
376	4560	7536
377	4570	7521
378	4580	7505
379	4593	7493
380	4607	7485
381	4619	7473
382	4630	7460
383	4645	7451
384	4658	7441
385	4671	7431
386	4687	7425
387	4704	7420
388	4722	7417
389	4738	7411
390	4752	7402
391	4767	7394
392	4784	7389
393	4796	7378
394	4812	7371
395	4824	7358
396	4834	7342
397	4848	7333
398	4862	7324
399	4880	7320
400	4890	7305
401	4900	7289
402	4913	7279
403	4925	7266
404	4940	7257
405	4952	7245
406	4966	7236
